ID,Binomial,Order,Family,Genus,RedList,ReproductiveMode,BodySize,TrophicGroup,HabitatMode,HabitatsIUCN,Continent,EOO,Latitude,ElevMin,Prec,PrecSeas,Temp,TempSeas,HPD,HPDMin,HumanFootprint,Accessibility,Afrotropical,Australasia,Indo_malayan,Nearctic,Neotropical,Oceania,Palearctic
13,Acanthodactylus_busacki,SQUAMATA,LACERTIDAE,Acanthodactylus ,LC,Oviparous,73.6,Invertebrates,Terrestrial,3,Continent,81496.6,28.06,-60,84.11,83.55,20.2,4160.61,23.04,0.06,12.72,376.06,0,0,0,0,0,0,1
14,Acanthodactylus_erythrurus,SQUAMATA,LACERTIDAE,Acanthodactylus,LC,Oviparous,84,Invertebrates,Terrestrial,15,Continent,699082,36.79,-3,487.21,48.59,14.76,6070.99,111.39,0,35.26,149.44,0,0,0,0,0,0,1
15,Acanthodactylus_haasi,SQUAMATA,LACERTIDAE,Acanthodactylus,LC,Oviparous,51,Invertebrates,Terrestrial,4,Continent,107230,24.67,-14,70.3,96.71,25.39,5774.14,10.83,1.1,16.52,612.46,0,0,0,0,0,0,1
16,Acanthophis_rugosus,SQUAMATA,ELAPIDAE,Acanthophis,LC,Ovoviviparous,1100,Carnivorous,Terrestrial,3,Island,792073,-5.37,-8,3050.92,25.5,23.98,585.56,8.61,0,11.73,2149.56,0,1,0,0,0,0,0
17,Acanthosaura_lepidogaster,SQUAMATA,AGAMIDAE,Acanthosaura,LC,Oviparous,111,Invertebrates,Arboreal,1,Island,1090650,20.66,2,1642.86,78.81,21.92,3935.22,118.05,0.15,28.27,325.57,0,0,1,0,0,0,0
18,Achalinus_ater,SQUAMATA,COLUBRIDAE,Achalinus,LC,Oviparous,50,Carnivorous,Terrestrial,8,Continent,201083,24.59,25,1389.06,71.71,18.89,5901.92,140.31,13.21,28.34,277.83,0,0,1,0,0,0,0
19,Achalinus_jinggangensis,SQUAMATA,COLUBRIDAE,Achalinus,DD,Oviparous,50,Carnivorous,Terrestrial,1,Continent,97.11,26.7,294,1568.5,47,16.7,7816.75,125.17,125.17,27.71,286.14,0,0,1,0,0,0,0
20,Acontias_breviceps,SQUAMATA,SCINCIDAE,Acontias,NT,Ovoviviparous,199,Invertebrates,Fossorial,1,Continent,30042.2,-27.94,555,794.08,63.57,15.36,3604.73,24.73,0.19,22.03,268.07,1,0,0,0,0,0,0
21,Acontias_gracilicauda,SQUAMATA,SCINCIDAE,Acontias,LC,Viviparous,260,Invertebrates,Fossorial,2,Continent,311227,-29.14,6,517.94,60.25,16.45,4569.55,42.27,0,22.94,223.6,1,0,0,0,0,0,0
22,Acontias_percivali,SQUAMATA,SCINCIDAE,Acontias,LC,Ovoviviparous,257,Invertebrates,Fossorial,2,Continent,891648,-20.03,1,460.61,98.27,21.08,3673.05,6.92,0,10.43,814.95,1,0,0,0,0,0,0
23,Acontias_plumbeus,SQUAMATA,SCINCIDAE,Acontias,LC,Ovoviviparous,500,Invertebrates,Fossorial,4,Continent/Island,213800,-25.04,1,816.53,68.59,20.72,2829.27,78.14,0,26.51,317.41,1,0,0,0,0,0,0
24,Adelphicos_quadrivirgatum,SQUAMATA,COLUBRIDAE,Adelphicos,DD,Oviparous,40,Invertebrates,Fossorial,1,Continent,87092.3,22.18,3,1069.91,73.25,22.31,3617.99,39,1.26,30.56,197.46,0,0,0,1,1,0,0
25,Adelphicos_visoninum,SQUAMATA,COLUBRIDAE,Adelphicos,LC,Oviparous,40,Invertebrates,Fossorial,5,Continent,18441.9,17.51,-1,2011.07,62.31,24.89,1869.43,31.62,2.99,34.8,347.92,0,0,0,0,1,0,0
26,Adolfus_alleni,SQUAMATA,LACERTIDAE,Adolfus,VU,Oviparous,70,Invertebrates,Terrestrial,1,Continent,5226.28,0.38,1658,1505.28,47.86,11.34,729.24,47.44,0,22.57,589.71,1,0,0,0,0,0,0
27,Afroablepharus_africana,SQUAMATA,SCINCIDAE,Afroablepharus,VU,Oviparous,47,Invertebrates,Terrestrial,1,Island,1005.25,0.44,14,2269.34,59.74,22.73,823.17,148.89,63.52,33.89,244.34,1,0,0,0,0,0,0
28,Afroablepharus_annobonensis,SQUAMATA,SCINCIDAE,Afroablepharus,CR,Oviparous,43,Invertebrates,Terrestrial,2,Island,14.69,-1.43,NA,NA,NA,NA,NA,NA,NA,NA,504,1,0,0,0,0,0,0
29,Afroablepharus_wilsoni,SQUAMATA,SCINCIDAE,Afroablepharus,DD,Viviparous,25,Invertebrates,Terrestrial,1,Continent,1256.59,10.67,457,756.76,102.85,27.28,1625.34,21.18,9.72,25.58,289.39,1,0,0,0,0,0,0
30,Afroedura_nivaria,SQUAMATA,GEKKONIDAE,Afroedura,LC,Oviparous,66,Invertebrates,Arboreal,2,Continent,9328.2,-29.06,1068,934.25,70.02,13.95,3878.71,58.88,0,25.19,273.45,1,0,0,0,0,0,0
31,Afronatrix_anoscopus,SQUAMATA,COLUBRIDAE,Afronatrix,LC,Oviparous,750,Carnivorous,Aquatic,8,Continent,2147660,8.42,-3,1526.37,83,26.02,1357.22,92.04,1.78,28,276.78,1,0,0,0,0,0,0
32,Afrotyphlops_blanfordii,SQUAMATA,TYPHLOPIDAE,Afrotyphlops,DD,Oviparous,297.5,Invertebrates,Fossorial,1,Continent,448718,10.13,173,1097,86.55,19.05,1224.24,138.2,3.62,33.16,460.39,1,0,0,0,0,0,0
33,Afrotyphlops_gierrai,SQUAMATA,TYPHLOPIDAE,Afrotyphlops,EN,Oviparous,297.5,Invertebrates,Fossorial,1,Continent,2318.87,-5.15,491,1039.49,63.94,18.19,1754.27,91.05,34.96,22.44,352.39,1,0,0,0,0,0,0
34,Agama_bocourti,SQUAMATA,AGAMIDAE,Agama,DD,Oviparous,80,Invertebrates,Saxicolous,1,Continent,12373.2,13.31,4,838.95,130.68,27.32,2166.52,43.8,16.3,31.6,250.23,1,0,0,0,0,0,0
35,Agama_boueti,SQUAMATA,AGAMIDAE,Agama,LC,Oviparous,102,Invertebrates,Saxicolous,2,Continent,3036500,17.27,-4,154.16,147.31,28.06,4348.25,8.59,0.03,7.97,1493.67,1,0,0,0,0,0,0
36,Agama_cornii,SQUAMATA,AGAMIDAE,Agama,DD,Oviparous,50,Invertebrates,Saxicolous,1,Continent,52.91,14.35,634,608,133,27.3,2165,15.15,15.15,42.29,261.17,1,0,0,0,0,0,0
37,Agama_hispida,SQUAMATA,AGAMIDAE,Agama,LC,Oviparous,134,Invertebrates,Saxicolous,4,Continent,167835,-30.74,4,233.82,53.5,16.64,4395.58,15.78,0.01,13.7,429.39,1,0,0,0,0,0,0
38,Agama_mwanzae,SQUAMATA,AGAMIDAE,Agama,LC,Oviparous,95,Invertebrates,Saxicolous,6,Continent,179957,-3.75,1041,933.54,77.03,22.25,843.32,60.95,3.76,26.53,368.19,1,0,0,0,0,0,0
39,Agama_spinosa,SQUAMATA,AGAMIDAE,Agama,LC,Oviparous,126,Invertebrates,Saxicolous,3,Continent,1037840,13.66,-165,536.21,96.16,23.99,2404.98,53.05,0,23.24,476.32,1,0,0,0,0,0,0
40,Agamodon_arabicus,SQUAMATA,TROGONOPHIDAE,Agamodon,DD,Oviparous,NA,NA,NA,2,Continent,17172.6,13.15,0,130.32,68.11,26.76,2757.62,115.19,18.26,20.93,456.2,0,0,0,0,0,0,1
41,Agamura_persica,SQUAMATA,GEKKONIDAE,Agamura,LC,Oviparous,77,Invertebrates,Terrestrial,5,Continent,1433450,31.09,1,141.98,87.82,18.68,8109.45,29.87,0.14,19.96,412.33,0,0,1,0,0,0,1
42,Agkistrodon_contortrix,SQUAMATA,VIPERIDAE,Agkistrodon,LC,Viviparous,1100,Carnivorous,Terrestrial,3,Continent,2315990,35.36,-14,1132.95,22.94,14.93,7942.2,57.03,0,34.38,153.31,0,0,0,1,0,0,0
43,Agkistrodon_taylori,SQUAMATA,VIPERIDAE,Agkistrodon,LC,Viviparous,960,Carnivorous,Terrestrial,4,Continent,71605.9,23.29,1,938.21,73.83,23.32,3978.55,36.93,1.26,30.02,174.42,0,0,0,1,1,0,0
44,Ahaetulla_prasina,SQUAMATA,COLUBRIDAE,Ahaetulla,LC,Oviparous,860,NA,Arboreal,22,Continent/Island,3322280,16.5,-26,1912.96,75.53,24.22,2498,231.54,0,29.53,316.72,0,0,1,0,0,0,0
45,Alopoglossus_angulatus,SQUAMATA,GYMNOPHTHALMIDAE,Alopoglossus,LC,Oviparous,64,Invertebrates,Terrestrial,2,Continent,4225060,-3.99,-1,2364.51,45.71,25.97,492.19,3.15,0.02,6.81,2070.81,0,0,0,0,1,0,0
46,Alsophis_antiguae,SQUAMATA,COLUBRIDAE,Alsophis,CR,Oviparous,711,Carnivorous,Terrestrial,2,Island,0.28,17.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0
47,Alsophis_sanctonum,SQUAMATA,COLUBRIDAE,Alsophis,EN,Oviparous,900,Carnivorous,Terrestrial,3,Island,16.93,15.85,NA,NA,NA,NA,NA,NA,NA,NA,131.67,0,0,0,0,1,0,0
48,Alsophylax_pipiens,SQUAMATA,GEKKONIDAE,Alsophylax,LC,Oviparous,41.6,Invertebrates,Arboreal,5,Continent,1745230,47.02,-62,203.83,34.52,6.1,12939.85,3.47,0.24,11.73,537.91,0,0,0,0,0,0,1
49,Alsophylax_przewalskii,SQUAMATA,GEKKONIDAE,Alsophylax,LC,Oviparous,33.8,Invertebrates,Arboreal,1,Continent,683043,40.04,-153,39.67,86.26,10.96,11738.13,11.81,0.16,10.76,1391.53,0,0,0,0,0,0,1
50,Amapasaurus_tetradactylus,SQUAMATA,GYMNOPHTHALMIDAE,Amapasaurus,DD,Oviparous,24,Invertebrates,Terrestrial,1,Continent,10957.4,-0.1,3,2342.92,51.19,26.48,586.18,1.08,0.62,4.6,1389.58,0,0,0,0,1,0,0
51,Amblyodipsas_concolor,SQUAMATA,ATRACTASPIDAE,Amblyodipsas,LC,Viviparous,542.1,Carnivorous,Terrestrial,1,Continent,132171,-26.16,6,822.18,68.92,18.3,3100.24,85.09,0,28.3,270.18,1,0,0,0,0,0,0
52,Amblyodipsas_microphthalma,SQUAMATA,ATRACTASPIDAE,Amblyodipsas,LC,Oviparous,320,Carnivorous,Terrestrial,4,Continent,125399,-24.28,1,635.02,71.53,23,2960.31,50.68,0,22.47,353.12,1,0,0,0,0,0,0
53,Amblyodipsas_rodhaini,SQUAMATA,ATRACTASPIDAE,Amblyodipsas,DD,Oviparous,412.4,Carnivorous,Terrestrial,1,Continent,118714,-8.92,559,1211.85,81.84,22.79,984.71,12.15,6.06,19.61,447.4,1,0,0,0,0,0,0
54,Amblyodipsas_teitana,SQUAMATA,ATRACTASPIDAE,Amblyodipsas,DD,NA,412.4,Carnivorous,Terrestrial,1,Continent,55.87,-3.32,1134,1103,77,20.95,1471.5,105.81,89.45,23,398.57,1,0,0,0,0,0,0
55,Amblyodipsas_ventrimaculata,SQUAMATA,ATRACTASPIDAE,Amblyodipsas,LC,NA,375,Carnivorous,Terrestrial,1,Continent,858769,-20.93,485,433.85,98.59,20.94,3906.54,4.98,0,10.18,716.3,1,0,0,0,0,0,0
56,Ameiva_chrysolaema,SQUAMATA,TEIIDAE,Ameiva,LC,Oviparous,160,Invertebrates,Terrestrial,3,Island,25327.1,18.94,-42,1182.93,52.61,24.92,1195.94,316.69,11.39,38.91,143.46,0,0,0,0,1,0,0
57,Ameiva_corax,SQUAMATA,TEIIDAE,Ameiva,VU,Oviparous,132,Invertebrates,Terrestrial,1,Island,3.41,18.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0
58,Ameiva_corvina,SQUAMATA,TEIIDAE,Ameiva,VU,Oviparous,133,Invertebrates,Terrestrial,2,Island,0.97,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0
59,Ameiva_lineolata,SQUAMATA,TEIIDAE,Ameiva,LC,Oviparous,59,Invertebrates,Terrestrial,2,Island,17644.4,18.75,-42,1075.39,55.58,24.71,1191.92,158.26,11.39,35.56,153.08,0,0,0,0,1,0,0
60,Ameiva_quadrilineata,SQUAMATA,TEIIDAE,Ameiva,LC,Oviparous,88,Invertebrates,Terrestrial,5,Continent,30189.1,9.89,4,3603.82,50.14,25.33,699.24,38.42,0.22,34.66,418.08,0,0,0,0,1,0,0
61,Ameiva_vittata,SQUAMATA,TEIIDAE,Ameiva,CR,Oviparous,107.3,Invertebrates,Terrestrial,1,Continent,14.68,-17.56,2558,593,105,18.1,2881,231.18,231.18,62.5,27,0,0,0,0,1,0,0
62,Amphibolurus_norrisi,SQUAMATA,AGAMIDAE,Amphibolurus,LC,Oviparous,117,Invertebrates,Arboreal,2,Continent,365076,-33.09,-4,341.31,31.33,16.74,4229.3,4.31,0.01,14.01,635.41,0,1,0,0,0,0,0
63,Amphiesma_flavifrons,SQUAMATA,COLUBRIDAE,Amphiesma,NT,Oviparous,750,Carnivorous,Aquatic,5,Island,170600,3.41,6,3295.85,16.7,24.37,259.23,12.2,0,13.81,2683.25,0,0,1,0,0,0,0
64,Amphiesma_groundwateri,SQUAMATA,COLUBRIDAE,Amphiesma,DD,Oviparous,420,Carnivorous,Aquatic,3,Island,8953.16,10.22,5,2513.07,59.78,26.1,939.44,73.76,21.86,29.95,480.7,0,0,1,0,0,0,0
65,Amphiesma_inas,SQUAMATA,COLUBRIDAE,Amphiesma,LC,Oviparous,739.4,Carnivorous,Aquatic,2,Island,22081.2,3.44,52,2592.68,36.03,22.64,508.52,59.44,0,19.12,800.75,0,0,1,0,0,0,0
66,Amphiesma_popei,SQUAMATA,COLUBRIDAE,Amphiesma,LC,Oviparous,269.5,Carnivorous,Aquatic,4,Continent,549109,23.16,-3,1550.26,71.38,20.66,5416.32,307.65,0,30.99,222.02,0,0,1,0,0,0,0
67,Amphiesma_sieboldii,SQUAMATA,COLUBRIDAE,Amphiesma,DD,Oviparous,707.4,Carnivorous,Aquatic,2,Continent,78301.7,28.75,118,1475.19,99.02,17.44,4968.81,202.53,4.47,31.78,360.1,0,0,1,0,0,0,1
68,Amphiglossus_alluaudi,SQUAMATA,SCINCIDAE,Amphiglossus,VU,Viviparous,85,Invertebrates,Terrestrial,2,Island,1821.64,-12.55,4,1404.13,105.66,25.72,1206.52,6.28,3.82,23.16,177.69,1,0,0,0,0,0,0
69,Amphiglossus_ardouini,SQUAMATA,SCINCIDAE,Amphiglossus,VU,Viviparous,137,Invertebrates,Terrestrial,1,Island,7587.58,-12.76,3,1497.16,104.61,25.61,1232.56,32.78,3.82,28.92,176.12,1,0,0,0,0,0,0
70,Amphiglossus_crenni,SQUAMATA,SCINCIDAE,Amphiglossus,LC,Viviparous,164,Invertebrates,Terrestrial,1,Island,4330.5,-16.9,53,2276.11,54.3,22.18,2219.02,28.98,6.26,22.11,728.82,1,0,0,0,0,0,0
71,Amphiglossus_elongatus,SQUAMATA,SCINCIDAE,Amphiglossus,DD,Viviparous,100,Invertebrates,Terrestrial,2,Island,7894.99,-13.47,8,1659.08,97.93,23.83,1453.02,21.86,8.02,25.02,363.71,1,0,0,0,0,0,0
72,Amphiglossus_frontoparietalis,SQUAMATA,SCINCIDAE,Amphiglossus,LC,Viviparous,76,Invertebrates,Terrestrial,1,Island,57336.6,-19.53,2,2242.25,60.97,21.83,2344.9,43.83,6.26,25.52,362.88,1,0,0,0,0,0,0
73,Amphiglossus_johannae,SQUAMATA,SCINCIDAE,Amphiglossus,LC,Viviparous,102,Invertebrates,Terrestrial,6,Island,2038.05,-12.05,14,1905.27,62.9,23.25,1277.5,499.34,221.74,34.34,883.8,1,0,0,0,0,0,0
74,Amphiglossus_melanurus,SQUAMATA,SCINCIDAE,Amphiglossus,LC,Viviparous,112,Invertebrates,Terrestrial,2,Island,35261.5,-14.11,3,1815.87,67.35,23.55,1720.32,33.87,3.82,24.73,601.03,1,0,0,0,0,0,0
75,Amphiglossus_punctatus,SQUAMATA,SCINCIDAE,Amphiglossus,LC,Viviparous,73,Invertebrates,Terrestrial,1,Island,51312.6,-20.12,3,2306.07,56.03,22.4,2309.44,47.29,6.26,25.75,317.96,1,0,0,0,0,0,0
76,Amphisbaena_absaberi,SQUAMATA,AMPHISBAENIDAE,Amphisbaena,DD,Oviparous,398.4,Invertebrates,Fossorial,1,Continent,146.02,-16.06,118,1301.11,70.89,26.3,1833.33,3.49,3.49,46.33,9.62,0,0,0,0,1,0,0
77,Amphisbaena_alba,SQUAMATA,AMPHISBAENIDAE,Amphisbaena,LC,Oviparous,810,Invertebrates,Fossorial,9,Continent,13608900,-12.36,-70,1687.93,55.29,23.77,1631.14,17.81,0,16.42,1005.18,0,0,0,0,1,0,0
78,Amphisbaena_gracilis,SQUAMATA,AMPHISBAENIDAE,Amphisbaena,DD,Oviparous,252,Invertebrates,Fossorial,1,Continent,10341.5,8.98,0,1993.74,39.52,26.22,551.81,2.94,0.1,12.65,700.53,0,0,0,0,1,0,0
79,Amphisbaena_hyporissor,SQUAMATA,AMPHISBAENIDAE,Amphisbaena,NT,Oviparous,310,Invertebrates,Fossorial,1,Island,1421.53,17.89,4,945.87,56.42,25.58,1138.22,27.11,11.39,31.22,195.65,0,0,0,0,1,0,0
80,Amphisbaena_lumbricalis,SQUAMATA,AMPHISBAENIDAE,Amphisbaena,DD,Oviparous,398.4,Invertebrates,Fossorial,1,Continent,2239.7,-21,84,1216.99,64.85,21.23,1954.22,57.52,13.88,38.51,94.65,0,0,0,0,1,0,0
81,Amphisbaena_neglecta,SQUAMATA,AMPHISBAENIDAE,Amphisbaena,DD,Oviparous,398.4,Invertebrates,Fossorial,1,Continent,554884,-14.76,102,1666.43,76.33,24.64,1168.19,5.55,0.08,17.29,424.07,0,0,0,0,1,0,0
82,Amphisbaena_polygrammica,SQUAMATA,AMPHISBAENIDAE,Amphisbaena,DD,Oviparous,398.4,Invertebrates,Fossorial,1,Continent,5053.76,-10.99,552,1769.15,46.95,19.39,624.6,28.54,1.06,26.39,537.16,0,0,0,0,1,0,0
83,Amphisbaena_polystegum,SQUAMATA,AMPHISBAENIDAE,Amphisbaena,LC,Oviparous,470.1,Invertebrates,Fossorial,1,Continent,1512880,-6.97,-2,1589.49,66.04,24.95,784.05,15.64,0.35,15.2,1120.14,0,0,0,0,1,0,0
84,Amphisbaena_pretrei,SQUAMATA,AMPHISBAENIDAE,Amphisbaena,LC,Oviparous,462,Invertebrates,Fossorial,2,Continent,503536,-10.32,-2,812.58,65.02,23.43,1386.67,56.89,1.03,30.42,137.52,0,0,0,0,1,0,0
85,Amphisbaena_ridleyi,SQUAMATA,AMPHISBAENIDAE,Amphisbaena,LC,Oviparous,245,Invertebrates,Fossorial,1,Continent,20.19,-3.85,2,1347.5,85.5,26.95,479.5,133.72,133.72,NA,661,0,0,0,0,1,0,0
86,Amphisbaena_scutigerum,SQUAMATA,AMPHISBAENIDAE,Amphisbaena,DD,Oviparous,398.4,Invertebrates,Fossorial,1,Continent,143.92,-22.84,4,1142.38,40.25,22.74,1971.88,120.08,70.98,43.2,48,0,0,0,0,1,0,0
87,Amphisbaena_slevini,SQUAMATA,AMPHISBAENIDAE,Amphisbaena,DD,Oviparous,398.4,Invertebrates,Fossorial,1,Continent,154.36,-3.11,12,2158.38,46.63,27.43,446.25,140.68,118.16,65.19,8.33,0,0,0,0,1,0,0
88,Amphisbaena_tragorrhectes,SQUAMATA,AMPHISBAENIDAE,Amphisbaena,DD,Oviparous,398.4,Invertebrates,Fossorial,1,Continent,226.72,-1.77,3,2357,57.58,27.12,603.08,0.48,0.48,20.13,361.97,0,0,0,0,1,0,0
89,Anadia_bitaeniata,SQUAMATA,GYMNOPHTHALMIDAE,Anadia,DD,Oviparous,87.8,Invertebrates,Terrestrial,2,Continent,3065.11,8.85,1231,1036,50.91,12.03,457.9,76.98,10.24,30.64,486,0,0,0,0,1,0,0
90,Anadia_marmorata,SQUAMATA,GYMNOPHTHALMIDAE,Anadia,VU,Oviparous,94.9,Invertebrates,Arboreal,1,Continent,1998.22,10.38,802,1146.5,50.16,19.1,708.9,850.1,69.14,39.65,130.64,0,0,0,0,1,0,0
91,Anadia_pulchella,SQUAMATA,GYMNOPHTHALMIDAE,Anadia,VU,Oviparous,105.9,Invertebrates,Terrestrial,1,Continent,10110.7,10.78,298,2107.41,63.24,17.76,559.14,68.85,27.32,27.79,587.32,0,0,0,0,1,0,0
92,Anatololacerta_anatolica,SQUAMATA,LACERTIDAE,Anatololacerta,LC,Oviparous,75,Invertebrates,Terrestrial,6,Continent,72432,39.04,0,686.44,61,12.99,6691.43,122.02,31.27,34.63,145.4,0,0,0,0,0,0,1
93,Anisolepis_grilli,SQUAMATA,POLYCHROTIDAE,Anisolepis,LC,Oviparous,97,Invertebrates,NA,2,Continent,483388,-24.95,0,1584.21,36.61,18.55,2710.86,132.5,0.72,33.3,130.89,0,0,0,0,1,0,0
94,Anniella_pulchra,SQUAMATA,ANILIIDAE,Anniella,LC,Viviparous,178,Invertebrates,Fossorial,5,Continent,135562,34.71,-14,381.43,81.27,15.33,5346.76,217.03,0.34,30.79,144.15,0,0,0,1,0,0,0
95,Anolis_ahli,SQUAMATA,IGUANIDAE,Anolis,EN,Oviparous,61.7,Invertebrates,Arboreal,2,Island,608.35,21.97,378,1774.42,58.81,21.97,1928.19,71.56,62.51,32.77,183.15,0,0,0,0,1,0,0
96,Anolis_allogus,SQUAMATA,IGUANIDAE,Anolis,LC,Oviparous,62.8,Invertebrates,Arboreal,3,Island,76843.4,21.3,0,1306.75,57.06,25.07,1830.43,118.63,12.2,42.19,122.82,0,0,0,0,1,0,0
97,Anolis_altae,SQUAMATA,IGUANIDAE,Anolis,LC,Oviparous,52,Invertebrates,Arboreal,2,Continent,14222.2,9.79,376,3025.31,55.5,19.01,599.6,209.61,7.05,37.58,332.42,0,0,0,0,1,0,0
98,Anolis_alumina,SQUAMATA,IGUANIDAE,Anolis,NT,Oviparous,40,Invertebrates,Arboreal,3,Island,3907.77,18.05,4,1281.59,57.56,22.84,1115.82,67.03,11.39,32.84,233.91,0,0,0,0,1,0,0
99,Anolis_alvarezdeltoroi,SQUAMATA,IGUANIDAE,Anolis,DD,Oviparous,99,Invertebrates,Arboreal,1,Continent,936.63,16.9,481,1053.43,78.52,22.76,1694.91,58.2,32.33,33.06,286.48,0,0,0,0,1,0,0
100,Anolis_amplisquamosus,SQUAMATA,IGUANIDAE,Anolis,EN,Oviparous,46,Invertebrates,Arboreal,1,Continent,314.1,15.55,583,1762.93,38.2,21.11,1575.93,42.92,17.27,34.31,196.59,0,0,0,0,1,0,0
101,Anolis_armouri,SQUAMATA,IGUANIDAE,Anolis,NT,Oviparous,67,Invertebrates,Arboreal,2,Island,4890.63,18.29,331,1748.98,56.97,20.08,1189.64,276.28,11.39,32.25,256.33,0,0,0,0,1,0,0
102,Anolis_bimaculatus,SQUAMATA,IGUANIDAE,Anolis,LC,Oviparous,170,Invertebrates,Arboreal,3,Island,298.22,17.29,32,1383.81,30.69,25.68,1106.94,129.96,76.89,64.52,368.43,0,0,0,0,1,0,0
103,Anolis_caquetae,SQUAMATA,IGUANIDAE,Anolis,DD,Oviparous,58,Invertebrates,Arboreal,1,Continent,9961.62,-0.03,165,2846.83,34.6,26.18,711,0.28,0.28,3.06,2021.26,0,0,0,0,1,0,0
104,Anolis_carpenteri,SQUAMATA,IGUANIDAE,Anolis,LC,Oviparous,45,Invertebrates,Arboreal,3,Continent,44219.1,10.44,4,2731.48,53.2,23.83,680.23,60.98,0,34.72,382.5,0,0,0,0,1,0,0
105,Anolis_centralis,SQUAMATA,IGUANIDAE,Anolis,LC,Oviparous,47.2,Invertebrates,Arboreal,2,Island,20443.9,20.86,1,1251.64,55.53,25.02,1710.15,95.16,15.7,40.64,124.18,0,0,0,0,1,0,0
106,Anolis_clivicola,SQUAMATA,IGUANIDAE,Anolis,LC,Oviparous,49.4,Invertebrates,Arboreal,2,Island,1043.34,20.06,401,1630.26,51.14,21.32,1534.78,74.33,42.9,38.16,379.89,0,0,0,0,1,0,0
107,Anolis_crassulus,SQUAMATA,IGUANIDAE,Anolis,LC,Oviparous,59,Invertebrates,Arboreal,5,Continent,81628.4,14.8,7,1556.81,73.25,20.04,1258.39,148.12,0,38.32,217.01,0,0,0,0,1,0,0
